ID_REF,GSM1684096,GSM1684098,GSM1684100,GSM1684102,GSM1684104,GSM1684095,GSM1684097,GSM1684099,GSM1684101,GSM1684103
ILMN_3305361,96.3881,102.838,97.7122,111.898,95.2718,96.8564,104.733,96.8087,105.002,107.045
ILMN_3305365,95.2366,123.918,113.485,123.735,110.426,108.757,106.311,97.2486,107.508,103.315
ILMN_3305378,130.015,230.597,170.222,189.053,238.208,138.632,180.151,118.769,129.341,144.155
ILMN_3305397,226.155,234.617,336.534,839.701,357.256,307.579,372.212,360.645,907.498,597.206
ILMN_3305417,96.8226,96.8261,95.7937,97.4166,102.08,89.8784,109.398,93.7788,96.0806,104.198
ILMN_3305447,137.481,179.033,163.571,245.276,201.577,136.107,198.142,137.772,198.506,214.568
ILMN_3305466,177.953,222.373,152.769,188.614,213.357,249.926,232.141,168.122,201.442,180.916
ILMN_3305472,93.7494,96.2904,104.745,103.31,105.526,92.0212,106.346,87.993,93.2535,95.4766
ILMN_3305475,2395.14,1741.79,2245.24,2279.46,1562.88,2267.8,1802.04,2002.62,2371.92,1874.37
ILMN_3305508,427.2,202.752,193.332,173.068,312.883,370.064,227.36,299.441,226.055,371.8
ILMN_3305563,91.1197,90.1943,103.0,98.4389,84.225,105.85,98.9115,108.035,87.4811,106.628
ILMN_3305575,124.882,143.117,102.415,88.9083,100.397,110.48,102.883,119.963,103.073,101.358
ILMN_3305597,103.57,90.3123,94.5609,103.096,103.244,106.496,91.8763,112.611,116.011,101.316
ILMN_3305614,102.427,104.769,91.6918,101.67,97.7978,101.746,102.032,94.8299,101.478,95.5138
ILMN_3305619,95.1094,104.987,108.083,100.339,103.409,103.507,110.018,98.6008,112.665,106.179
ILMN_3305628,136.401,104.112,114.31,106.118,126.344,101.179,111.992,120.691,114.528,126.93
ILMN_3305675,110.173,88.8663,97.2591,92.6715,93.9385,100.584,101.828,90.7121,98.8654,94.4999
ILMN_3305727,102.103,97.7552,109.295,115.801,101.592,113.21,146.736,101.735,111.561,97.4915
ILMN_3305735,629.1,440.361,329.256,411.459,388.111,967.745,457.634,192.475,365.542,288.403
ILMN_3305751,104.493,112.69,122.822,101.053,110.013,118.753,106.516,109.069,106.662,133.346
ILMN_3305763,102.939,106.164,103.4,125.867,117.176,131.841,105.662,105.613,115.727,112.624
ILMN_3305768,97.927,116.246,106.626,94.718,98.1014,96.3662,96.2168,99.0795,92.4287,105.684
ILMN_3305772,145.382,160.653,96.4927,103.382,148.272,149.881,136.309,110.173,81.8589,135.714
ILMN_3305788,109.595,105.626,100.336,103.682,103.819,103.273,107.425,97.5029,89.5235,107.426
ILMN_3305839,112.67,115.57,116.271,95.4251,109.996,113.535,115.536,120.047,104.274,114.434
ILMN_3305849,121.404,145.637,146.855,119.698,128.73,122.424,143.962,147.077,128.623,122.536
ILMN_3305871,92.9352,108.318,105.104,146.276,115.13,102.584,104.697,107.622,124.235,105.982
ILMN_3305876,90.3355,108.666,87.7714,90.6847,89.6315,82.3359,98.8979,106.027,106.444,87.2387
ILMN_3305887,104.797,114.724,116.444,119.978,133.202,132.487,122.903,113.117,110.525,117.852
ILMN_3305899,146.78,153.612,127.031,181.817,161.402,159.498,151.4,154.38,152.879,134.807
ILMN_3305901,94.7059,93.2442,100.414,94.2525,91.4689,137.632,99.6222,95.1717,110.194,90.0838
ILMN_3305933,85.8893,95.2847,109.605,85.3625,89.0249,102.25,99.2243,92.6995,97.9998,110.552
ILMN_3305938,144.541,121.209,91.636,111.823,139.055,112.828,106.699,105.841,98.4559,113.21
ILMN_3305942,104.016,95.2606,100.845,95.4067,105.707,95.4227,103.081,101.81,144.236,97.9118
ILMN_3305949,4193.62,5049.81,5670.89,4778.61,5936.77,3776.66,4723.82,5370.42,4458.36,4576.8
ILMN_3305973,201.85,171.857,122.655,121.545,165.672,150.895,126.215,102.882,124.382,104.468
ILMN_3305980,101.057,93.7315,104.272,82.7032,105.264,96.5627,95.1448,109.8,86.507,102.164
ILMN_3305988,108.318,92.4534,87.9736,80.0744,96.54,95.3487,96.9329,98.0744,86.3201,95.0156
ILMN_3305993,493.741,450.112,361.045,471.07,612.777,403.98,363.038,302.895,574.403,629.1
ILMN_3305999,112.829,111.771,116.888,97.2209,107.235,117.45,115.978,101.893,107.008,108.611
ILMN_3306011,86.104,91.3679,95.5425,79.9423,76.8079,100.241,84.9179,85.8801,94.2888,93.7081
ILMN_3306019,113.975,190.48,200.827,152.777,137.585,227.87,211.774,237.936,194.143,191.817
ILMN_3306028,157.757,107.706,107.689,103.646,93.7708,116.323,111.095,91.727,115.194,90.0956
ILMN_3306045,97.7027,99.0774,114.515,87.7864,81.8202,99.6098,108.193,100.214,117.275,98.6602
ILMN_3306064,103.177,103.588,112.929,105.974,116.219,112.927,121.226,111.241,103.594,110.49
ILMN_3306071,98.995,101.228,96.5588,104.281,88.2011,90.6227,85.8859,86.2211,101.147,92.7864
ILMN_3306154,103.258,106.143,94.4724,86.2618,90.6673,101.538,91.8864,92.1638,84.6437,102.572
ILMN_3306155,94.8887,89.0125,101.124,100.521,102.365,121.224,101.907,104.277,98.029,88.9353
ILMN_3306168,384.145,371.273,309.263,301.233,260.736,384.895,389.164,302.186,305.287,222.886
ILMN_3306173,226.337,283.592,300.02,316.809,246.343,186.445,227.904,194.481,236.409,219.88
ILMN_3306187,96.7095,98.1545,99.5019,92.0501,85.9403,94.4589,97.7627,91.0335,91.1574,98.1965
ILMN_3306215,908.823,1027.17,1623.83,1716.48,917.659,1149.69,2172.32,2306.12,2835.43,1321.62
ILMN_3306270,94.9509,104.293,92.1086,97.1993,106.808,86.2934,93.6084,106.919,105.788,101.99
ILMN_3306294,96.2946,101.279,96.6822,91.6962,104.704,90.6062,115.029,96.8872,90.7023,87.8182
ILMN_3306336,135.052,107.745,101.852,109.635,126.067,105.627,106.85,91.0371,107.983,104.011
ILMN_3306362,97.6777,107.123,113.105,100.893,95.1031,100.345,113.046,119.875,114.926,98.0838
